folder_name,market,report_length
NASDAQ_RBBN_2019_2020,NASDAQ,78347
NASDAQ_GFS_2017,NASDAQ,135830
NASDAQ_AAPL_2021,NASDAQ,298239
NASDAQ_WBA_2017,NASDAQ,233311
NASDAQ_NSIT_2022,NASDAQ,124050
NASDAQ_DECK_2021_2022,NASDAQ,360671
NASDAQ_SPTN_2017,NASDAQ,49554
NASDAQ_CSX_2011,NASDAQ,221832
NASDAQ_NSIT_2021,NASDAQ,124050
NASDAQ_VRNT_2019,NASDAQ,62108
NASDAQ_LBTYA_2021,NASDAQ,48975
NASDAQ_PRAH_2018,NASDAQ,47028
NASDAQ_NLOK_2008,NASDAQ,135659
NASDAQ_MDLZ_2017,NASDAQ,100454
NASDAQ_GPOR_2022,NASDAQ,48590
NASDAQ_TEAM_2021,NASDAQ,70036
NASDAQ_TROW_2018,NASDAQ,71797
NASDAQ_BIIB_2014,NASDAQ,198287
NASDAQ_WLDN_2020,NASDAQ,39608
NASDAQ_NLOK_2021,NASDAQ,124602
NASDAQ_EXAS_2019,NASDAQ,45536
NASDAQ_CSCO_2012,NASDAQ,529792
NASDAQ_AER_2020,NASDAQ,85940
NASDAQ_RMR_2020,NASDAQ,116488
NASDAQ_GOOG_2018,NASDAQ,87241
NASDAQ_SG_2019,NASDAQ,41634
NASDAQ_UCBI_2019,NASDAQ,61116
NASDAQ_CDNS_2021,NASDAQ,126631
NASDAQ_CZR_2020_2021,NASDAQ,135496
NASDAQ_FHB_2018,NASDAQ,48047
NASDAQ_NDSN_2020_2021,NASDAQ,94832
NASDAQ_TXN_2019,NASDAQ,211970
NASDAQ_EBAY_2018,NASDAQ,45216
NASDAQ_DECK_2014,NASDAQ,72663
NASDAQ_VECO_2022,NASDAQ,120459
NASDAQ_TSCO_2020,NASDAQ,35332
NASDAQ_SWIR_2020,NASDAQ,48606
NASDAQ_UMPQ_2020,NASDAQ,89462
NASDAQ_GFS_2019,NASDAQ,115628
NASDAQ_ADI_2019,NASDAQ,105023
NASDAQ_HWKN_2019_2020,NASDAQ,26574
NASDAQ_ICFI_2016,NASDAQ,79255
NASDAQ_CRMT_2021_2022,NASDAQ,84006
NASDAQ_XLNX_2018_2019,NASDAQ,33875
NASDAQ_AVGO_2020,NASDAQ,112688
NASDAQ_IOSP_2014,NASDAQ,65740
NASDAQ_BLKB_2020,NASDAQ,82340
NASDAQ_DLGS_2015,NASDAQ,88404
NASDAQ_CWST_2014,NASDAQ,109591
NASDAQ_IOSP_2017,NASDAQ,107092
NASDAQ_SONO_2021,NASDAQ,54783
NASDAQ_DECK_2017_2018,NASDAQ,64044
NASDAQ_AEGN_2019,NASDAQ,128808
NASDAQ_FLEX_2014,NASDAQ,20599
NASDAQ_TETY_2019,NASDAQ,47776
NASDAQ_KE_2019,NASDAQ,31748
NASDAQ_AAL_2020,NASDAQ,87274
NASDAQ_FLEX_2017,NASDAQ,23626
NASDAQ_IDXX_2020,NASDAQ,119145
NASDAQ_INTC_2021_2022,NASDAQ,403198
NASDAQ_PAYX_2019_2020,NASDAQ,64422
NASDAQ_SPWR_2021,NASDAQ,75208
NASDAQ_LRCX_2019_2020,NASDAQ,173056
NASDAQ_STX_2006,NASDAQ,133010
NASDAQ_GMAB_2012,NASDAQ,14222
NASDAQ_BPOP_2021,NASDAQ,63254
NASDAQ_STX_2017,NASDAQ,148098
NASDAQ_CWST_2009,NASDAQ,71999
NASDAQ_SIVB_2022,NASDAQ,110138
NASDAQ_GFS_2013,NASDAQ,112679
NASDAQ_DLTR_2016,NASDAQ,26731
NASDAQ_MXIM_2017_2018,NASDAQ,91805
